Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
92,Desmond Bane,SG,24,MEM,32,32,995,241,519,.464,100,230,.435,141,289,.488,.561,108,120,.900,18,134,152,130,30,11,71,80,690,banede01
93,Mason Plumlee,C,32,CHO,56,56,1597,265,396,.669,0,0,,265,396,.669,.669,155,256,.605,187,354,541,205,35,35,87,161,685,plumlma01
94,Malcolm Brogdon,PG,30,BOS,47,0,1178,236,492,.480,93,204,.456,143,288,.497,.574,116,131,.885,34,164,198,172,28,14,76,71,681,brogdma01
95,Bobby Portis,PF,27,MIL,47,14,1258,281,563,.499,58,170,.341,223,393,.567,.551,58,70,.829,120,353,473,85,22,11,59,81,678,portibo01
96,Nic Claxton,C,23,BRK,51,51,1515,292,399,.732,0,2,.000,292,397,.736,.732,87,173,.503,132,336,468,86,40,132,67,142,671,claxtni01
97,Tyrese Maxey,SG,22,PHI,34,22,1116,241,538,.448,78,202,.386,163,336,.485,.520,110,138,.797,15,82,97,124,27,5,50,71,670,maxeyty01
98,LaMelo Ball,PG,21,CHO,29,29,1014,236,586,.403,112,309,.362,124,277,.448,.498,85,99,.859,33,139,172,231,40,11,97,103,669,ballla01
99,Luguentz Dort,SG,23,OKC,47,47,1426,226,556,.406,90,252,.357,136,304,.447,.487,119,157,.758,66,133,199,107,49,12,67,153,661,dortlu01
100,Tre Jones,PG,23,SAS,51,51,1499,254,581,.437,35,131,.267,219,450,.487,.467,112,126,.889,40,140,180,322,67,8,89,75,655,jonestr01
101,Max Strus,SF,26,MIA,53,25,1568,229,566,.405,135,393,.344,94,173,.543,.524,58,65,.892,36,154,190,111,35,9,51,109,651,strusma01
102,Michael Porter Jr.,SF,24,DEN,38,38,1101,237,485,.489,108,261,.414,129,224,.576,.600,60,76,.789,36,169,205,40,27,18,42,87,642,portemi01
103,Jaylen Nowell,SG,23,MIN,58,2,1148,252,564,.447,62,212,.292,190,352,.540,.502,74,95,.779,32,123,155,123,39,4,57,88,640,nowelja01
104,Kenyon Martin Jr.,SF,22,HOU,55,22,1429,253,447,.566,50,149,.336,203,298,.681,.622,81,128,.633,81,222,303,81,23,20,60,96,637,martike04
105,Caris LeVert,SG,28,CLE,51,26,1568,227,554,.410,83,226,.367,144,328,.439,.485,99,138,.717,36,168,204,195,42,12,85,115,636,leverca01
106,Marcus Morris,PF,33,LAC,50,50,1446,234,540,.433,98,259,.378,136,281,.484,.524,63,80,.788,24,197,221,92,33,20,44,108,629,morrima03
107,Keegan Murray,SF,22,SAC,52,50,1540,224,505,.444,130,314,.414,94,191,.492,.572,48,61,.787,59,180,239,50,39,26,48,103,626,murrake02
108,Jaden McDaniels,PF,22,MIN,55,55,1683,244,473,.516,65,174,.374,179,299,.599,.585,69,91,.758,69,141,210,114,53,56,81,191,622,mcdanja02
109,John Collins,PF,25,ATL,47,47,1471,245,478,.513,39,152,.257,206,326,.632,.553,92,116,.793,56,291,347,60,31,59,59,157,621,collijo01
110,Jaren Jackson Jr.,C,23,MEM,37,37,1009,222,441,.503,55,157,.350,167,284,.588,.566,122,158,.772,66,179,245,31,37,123,57,123,621,jacksja02
111,Rudy Gobert,C,30,MIN,47,47,1429,236,349,.676,0,3,.000,236,346,.682,.676,148,222,.667,146,391,537,41,39,60,82,139,620,goberru01
112,Jusuf Nurkić,C,28,POR,45,45,1227,232,443,.524,39,100,.390,193,343,.563,.568,116,169,.686,103,322,425,130,39,39,110,162,619,nurkiju01
113,Eric Gordon,SG,34,HOU,47,47,1418,210,478,.439,85,245,.347,125,233,.536,.528,110,135,.815,12,85,97,136,30,17,83,45,615,gordoer01
114,Collin Sexton,SG,24,UTA,43,11,1029,209,412,.507,47,108,.435,162,304,.533,.564,150,180,.833,36,60,96,117,23,4,76,98,615,sextoco01
115,Jabari Smith Jr.,PF,19,HOU,52,52,1547,217,558,.389,82,273,.300,135,285,.474,.462,97,124,.782,61,297,358,60,26,50,74,154,613,smithja05
116,Bruce Brown,SG,26,DEN,54,24,1543,236,483,.489,73,184,.397,163,299,.545,.564,61,84,.726,40,174,214,195,58,35,90,130,606,brownbr01
117,Derrick White,SG,28,BOS,55,47,1490,205,454,.452,89,234,.380,116,220,.527,.550,101,117,.863,30,154,184,191,38,50,56,123,600,whitede01
118,Jalen Williams,SG,21,OKC,50,37,1445,241,478,.504,43,136,.316,198,342,.579,.549,73,99,.737,42,162,204,141,60,28,79,127,598,willija06
119,Jalen McDaniels,SF,25,CHO,56,21,1494,221,494,.447,65,202,.322,156,292,.534,.513,88,104,.846,44,226,270,111,66,29,80,158,595,mcdanja01
120,Kentavious Caldwell-Pope,SG,29,DEN,52,52,1619,211,449,.470,104,226,.460,107,223,.480,.586,66,80,.825,25,127,152,113,72,19,57,108,592,caldwke01
121,Andrew Wiggins,SF,27,GSW,35,35,1120,233,494,.472,84,213,.394,149,281,.530,.557,42,70,.600,57,117,174,80,45,28,47,103,592,wiggian01
122,Ivica Zubac,C,25,LAC,56,56,1642,223,362,.616,0,2,.000,223,360,.619,.616,127,181,.702,190,386,576,57,22,73,94,167,573,zubaciv01
123,Reggie Jackson,PG,32,LAC,52,38,1338,214,512,.418,77,220,.350,137,292,.469,.493,61,66,.924,22,94,116,183,38,5,96,92,566,jacksre01
124,Devin Vassell,SG,22,SAS,29,24,907,206,463,.445,82,203,.404,124,260,.477,.533,69,87,.793,6,109,115,104,35,12,45,42,563,vassede01
