Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
125,Alec Burks,SG,31,DET,43,6,952,173,394,.439,83,197,.421,90,197,.457,.544,131,161,.814,14,113,127,94,32,5,47,84,560,burksal01
126,Jakob Poeltl,C,27,SAS,46,46,1199,239,388,.616,0,1,.000,239,387,.618,.616,78,129,.605,152,264,416,141,36,52,96,118,556,poeltja01
127,De'Anthony Melton,PG,24,PHI,50,41,1449,200,464,.431,114,281,.406,86,183,.470,.554,38,50,.760,48,170,218,138,91,28,72,123,552,meltode01
128,Patrick Williams,PF,21,CHI,54,53,1579,206,449,.459,77,191,.403,129,258,.500,.545,61,68,.897,52,187,239,72,40,44,72,109,550,willipa01
129,Tyus Jones,PG,26,MEM,54,9,1270,205,475,.432,81,214,.379,124,261,.475,.517,58,72,.806,22,103,125,252,59,3,52,22,549,jonesty01
130,Bol Bol,PF,23,ORL,50,32,1188,219,380,.576,26,79,.329,193,301,.641,.611,67,90,.744,59,260,319,43,23,71,92,67,531,bolbo01
131,Kyle Lowry,PG,36,MIA,44,44,1464,169,427,.396,90,270,.333,79,157,.503,.501,100,117,.855,38,152,190,232,49,17,87,121,528,lowryky01
132,Wendell Carter Jr.,C,23,ORL,35,32,1051,194,373,.520,42,122,.344,152,251,.606,.576,97,126,.770,72,234,306,92,12,21,76,102,527,cartewe01
133,Grayson Allen,SG,27,MIL,50,48,1371,170,380,.447,96,237,.405,74,143,.517,.574,88,98,.898,44,129,173,126,43,10,54,81,524,allengr01
134,Lonnie Walker IV,SG,24,LAL,38,32,1059,189,414,.457,72,193,.373,117,221,.529,.543,72,82,.878,12,71,83,51,26,12,35,62,522,walkelo01
135,Naz Reid,C,23,MIN,50,10,897,206,385,.535,48,145,.331,158,240,.658,.597,53,80,.663,59,181,240,48,29,45,64,123,513,reidna01
136,Naji Marshall,SF,25,NOP,51,19,1279,179,418,.428,52,164,.317,127,254,.500,.490,101,131,.771,36,152,188,131,42,11,66,78,511,marshna01
137,Kelly Olynyk,C,31,UTA,44,44,1226,171,352,.486,61,154,.396,110,198,.556,.572,107,128,.836,54,167,221,141,43,26,96,170,510,olynyke01
138,Jose Alvarado,PG,24,NOP,55,9,1190,183,448,.408,78,229,.341,105,219,.479,.496,65,80,.813,25,109,134,169,61,9,75,111,509,alvarjo01
139,Killian Hayes,PG,21,DET,52,33,1381,204,530,.385,63,197,.320,141,333,.423,.444,38,49,.776,18,122,140,300,69,17,103,154,509,hayeski01
140,Bones Hyland,PG,22,DEN,42,1,820,173,434,.399,91,241,.378,82,193,.425,.503,71,82,.866,10,76,86,125,28,13,67,66,508,hylanbo01
141,Ayo Dosunmu,SG,23,CHI,52,44,1453,206,399,.516,45,136,.331,161,263,.612,.573,50,63,.794,35,125,160,143,36,20,72,131,507,dosunay01
142,Isaiah Stewart,C,21,DET,45,42,1275,177,404,.438,56,182,.308,121,222,.545,.507,97,132,.735,106,260,366,61,20,30,62,121,507,stewais01
143,Damion Lee,SG,30,PHO,56,4,1247,162,362,.448,96,205,.468,66,157,.420,.580,82,90,.911,26,156,182,84,24,5,62,89,502,leeda03
144,Cedi Osman,SF,27,CLE,55,0,1170,185,402,.460,79,224,.353,106,178,.596,.558,53,79,.671,16,107,123,85,30,7,42,87,502,osmande01
145,Terance Mann,SG,26,LAC,57,32,1322,191,376,.508,53,139,.381,138,237,.582,.578,65,84,.774,53,157,210,119,31,19,55,101,500,mannte01
146,Brandon Clarke,PF,26,MEM,48,6,946,202,307,.658,1,6,.167,201,301,.668,.660,94,127,.740,76,193,269,57,29,33,51,116,499,clarkbr01
147,Thomas Bryant,C,25,LAL,41,25,876,197,301,.654,22,50,.440,175,251,.697,.691,80,108,.741,67,212,279,29,14,23,28,77,496,bryanth01
148,Onyeka Okongwu,C,22,ATL,53,17,1286,207,323,.641,1,5,.200,206,318,.648,.642,80,108,.741,142,250,392,54,33,69,54,174,495,okongon01
149,Chris Boucher,PF,30,TOR,50,0,1039,177,363,.488,43,130,.331,134,233,.575,.547,97,132,.735,112,183,295,23,36,40,24,97,494,bouchch01
